Original_Crop,Alternative_Crop,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH,Moisture
Rice,Sorghum,80,40,40,25,75,6.5,45
Rice,Foxtail millet,70,35,38,26,72,6.6,42
Rice,Finger millet,65,30,35,26,72,6.5,42
Maize,Bajra,70,35,38,27,70,6.8,40
Maize,Sorghum,80,40,40,27,70,6.7,40
Pigeon pea,Cowpea,30,50,35,28,65,7,30
Pigeon pea,Horsegram,25,45,30,27,60,6.8,28
Mung bean,Cowpea,30,50,35,28,65,7,30
Blackgram,Field bean,32,48,36,27,65,6.9,32
Banana,Guava,60,40,70,26,75,6.5,50
Banana,Sapota,55,38,75,27,78,6.8,52
Mango,Jackfruit,58,36,72,27,75,6.6,48
Papaya,Custard apple,50,35,65,28,70,6.5,48
Pomegranate,Fig,52,34,68,27,68,6.7,40
Coconut,Arecanut,65,40,80,27,80,6.5,55
Cotton,Sunhemp,55,40,60,28,65,6.8,35
Jute,Kenaf,58,42,62,28,70,6.7,45
Groundnut,Soybean,40,50,45,26,70,6.8,35
Groundnut,Sesame,30,45,50,27,65,6.5,30
Millet,Proso millet,45,30,35,26,60,6.5,30
Sugarcane,Sweet sorghum,90,50,80,28,80,6,60
Sugarcane,Tapioca,85,45,75,27,78,6.4,55
Tobacco,Chili,60,40,50,27,65,6.5,35
Wheat,Oats,75,35,35,18,65,6.5,40
Wheat,Rye,70,30,30,17,60,6.2,38
Chickpea,Peas,35,55,40,20,70,7,35
Lentil,Lathyrus,32,50,38,19,68,7.1,34
Kidneybean,Faba bean,38,52,42,20,70,6.9,36
Apple,Pear,60,40,70,18,70,6.5,45
Orange,Sweet lime,62,42,72,20,68,6.7,42
Carrot,Beetroot,50,40,60,18,75,6.5,45
Potato,Turnip,48,38,58,16,72,6.7,42
Barley,Oats,70,30,30,17,60,6.2,38
Oilseeds,Mustard,60,45,55,20,60,6.5,35
Oilseeds,Sunflower,65,50,60,22,55,6.8,30
Vegetables,Cabbage,80,40,60,18,75,6.5,50
Vegetables,Cauliflower,78,38,58,17,75,6.5,48
Vegetables,Spinach,70,35,50,16,80,6.7,55
Maize,Sorghum,90,45,45,26,65,6.5,40
Maize,Pearl Millet,85,40,40,28,60,6.8,38
Motha Beans,Cowpea,25,50,20,27,60,6.7,35
Motha Beans,Horse Gram,20,40,20,28,55,6.5,30
Mung Beans,Urad Bean,20,45,20,27,65,6.6,35
Mung Beans,Soybean,30,60,40,26,70,6.4,38
Grapes,Pomegranate,60,40,60,25,60,6.8,35
Grapes,Guava,50,30,50,27,65,6.7,40
Watermelon,Muskmelon,80,40,40,28,70,6.5,45
Watermelon,Cucumber,70,35,35,27,75,6.4,50
Muskmelon,Pumpkin,75,35,40,26,70,6.5,45
Melon,Bottle Gourd,60,30,30,27,75,6.6,48
Vegetables,Tomato,100,50,50,25,70,6.5,45
Vegetables,Brinjal,90,45,45,26,65,6.7,42
Sugarcane,Sweet Sorghum,150,60,60,28,75,6.8,55
Sugarcane,Maize (Fodder),120,50,50,27,70,6.6,50
