Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH,Moisture,Crop
90,42,43,20.87974371,82.00274423,6.502985292,38,Rice
85,58,41,21.77046169,80.31964408,7.038096361,45,Rice
60,55,44,23.00445915,82.3207629,7.840207144,62,Rice
74,35,40,26.49109635,80.15836264,6.980400905,34,Rice
78,42,42,20.13017482,81.60487287,7.628472891,46,Rice
69,37,42,23.05804872,83.37011772,7.073453503,35,Rice
69,55,38,22.70883798,82.63941394,5.70080568,64,Rice
94,53,40,20.27774362,82.89408619,5.718627178,50,Rice
89,54,38,24.51588066,83.5352163,6.685346424,42,Rice
68,58,38,23.22397386,83.03322691,6.336253525,33,Rice
91,53,40,26.52723513,81.41753846,5.386167788,28,Rice
90,46,42,23.97898217,81.45061596,7.50283396,48,Rice
78,58,44,26.80079604,80.88684822,5.108681786,65,Rice
93,56,36,24.01497622,82.05687182,6.98435366,41,Rice
94,50,37,25.66585205,80.66385045,6.94801983,31,Rice
60,48,39,24.28209415,80.30025587,7.042299069,49,Rice
85,38,41,21.58711777,82.7883708,6.249050656,34,Rice
91,35,39,23.79391957,80.41817957,6.970859754,39,Rice
77,38,36,21.8652524,80.1923008,5.953933276,65,Rice
88,35,40,23.57943626,83.58760316,5.85393208,52,Rice
89,45,36,21.32504158,80.47476396,6.442475375,44,Rice
76,40,43,25.15745531,83.11713476,5.070175667,53,Rice
67,59,41,21.94766735,80.97384195,6.012632591,33,Rice
83,41,43,21.0525355,82.67839517,6.254028451,37,Rice
98,47,37,23.48381344,81.33265073,7.375482851,39,Rice
66,53,41,25.0756354,80.52389148,7.778915154,44,Rice
97,59,43,26.35927159,84.04403589,6.286500176,63,Rice
97,50,41,24.52922681,80.54498576,7.070959995,30,Rice
60,49,44,20.77576147,84.49774397,6.244841491,32,Rice
84,51,35,22.30157427,80.64416466,6.043304899,36,Rice
73,57,41,21.44653958,84.94375962,5.824709117,40,Rice
92,35,40,22.17931888,80.33127223,6.357389366,27,Rice
85,37,39,24.52783742,82.73685569,6.364134968,38,Rice
98,53,38,20.26707606,81.63895217,5.01450727,38,Rice
88,54,44,25.7354293,83.88266234,6.149410611,48,Rice
95,55,42,26.79533926,82.1480873,5.950660556,35,Rice
99,57,35,26.75754171,81.17734011,5.960370061,61,Rice
95,39,36,23.86330467,83.15250801,5.561398642,37,Rice
60,43,44,21.01944696,82.95221726,7.416245107,26,Rice
63,44,41,24.17298839,83.7287574,5.583370042,34,Rice
62,42,36,22.78133816,82.06719137,6.430010215,30,Rice
64,45,43,25.62980105,83.52842314,5.534878156,58,Rice
83,60,36,25.59704938,80.14509262,6.903985986,34,Rice
82,40,40,23.83067496,84.81360127,6.271478838,60,Rice
85,52,45,26.31355498,82.36698992,7.224285503,42,Rice
91,35,38,24.8972823,80.52586088,6.13428721,48,Rice
76,49,42,24.958779,84.47963372,5.206373153,32,Rice
74,39,38,23.24113501,84.59201843,7.782051313,43,Rice
79,43,39,21.66628296,80.70960551,7.062779015,29,Rice
88,55,45,24.63544858,80.41363018,7.730367824,51,Rice
60,36,43,23.43121862,83.06310136,5.286203711,31,Rice
76,60,39,20.0454142,80.3477562,6.766240045,33,Rice
93,56,42,23.85724032,82.22572988,7.382762603,38,Rice
65,60,43,21.97199397,81.89918197,5.658169482,47,Rice
95,52,36,26.22916897,83.83625819,5.543360238,63,Rice
75,38,39,23.44676801,84.79352417,6.215109715,43,Rice
74,54,38,25.65553461,83.47021081,7.120272972,54,Rice
91,36,45,24.44345477,82.45432595,5.950647577,37,Rice
71,46,40,20.2801937,82.1235421,7.236705436,56,Rice
99,55,35,21.7238313,80.2389895,6.501697816,34,Rice
72,40,38,20.41447029,82.20802629,7.592490617,41,Rice
83,58,45,25.75528612,83.51827127,5.875345751,49,Rice
93,58,38,20.61521424,83.77345559,6.932400225,64,Rice
70,36,42,21.84106875,80.72886384,6.946209881,47,Rice
76,47,42,20.08369642,83.29114712,5.739175027,35,Rice
99,41,36,24.45802087,82.74835604,6.738652179,62,Rice
99,54,37,21.14347496,80.33502926,5.594819626,57,Rice
86,59,35,25.78720567,82.11124033,6.946636369,55,Rice
69,46,41,23.64124821,80.28597873,5.012139669,40,Rice
91,56,37,23.43191632,80.56887849,6.363472208,38,Rice
61,52,41,24.97669518,83.891805,6.880431223,39,Rice
67,45,38,22.72791041,82.1706881,7.300410836,32,Rice
79,42,37,24.87300744,82.84022551,6.587918708,48,Rice
78,43,42,21.32376327,83.00320459,7.283736617,34,Rice
75,54,36,26.29465461,84.56919326,7.023936392,31,Rice
97,36,45,22.2286982,81.85872947,6.939083505,42,Rice
